Author,Year,Title,Journal,Abstract,article_id,keywords,Terrestrial/Aquatic,Ecosystem,Location,Study Type,Organism,Mechanism of Shift,Stressor Category,Specific Stressor,Measure,Tissue Type,Lipid Correction,TDF,Baselines,Result (Direction),Result description,Where result appears in paper,Model,P-value,R-squared
HK Swanson and TA Johnston and WC Leggett and RA Bodaly and RR Doucett and RA Cunjak,2003,"Trophic positions and mercury bioaccumulation in rainbow smelt
   (<i>Osmerus mordax</i>) and native forage fishes in northwestern Ontario
   lakes",ECOSYSTEMS,"Rainbow smelt (Osmerus mordax) is a recent invader to the lakes of the
   Hudson Bay drainage in northwestern Ontario, Canada. In some systems,
   the invasion has been linked to an increase in mercury (Hg)
   concentration in native predatory fish. This increase may be due to the
   fact that rainbow smelt are trophically elevated and thus accumulate
   more Ho than native forage fish species. To test this hypothesis, we
   compared the trophic positions and Hg concentrations of rainbow smelt
   and native forage fish in a series of smelt-invaded and reference lakes
   in northwestern Ontario. A comparison of forage fish delta(15)N (anindex
   of trophic position) between the smelt-invaded and reference lakes
   indicated that rainbow smelt moved into a trophic niche that was
   unoccupied prior to their arrival. Relationships between delta(15)N and
   body size and between Hg concentration and body size differed among the
   forage species. This indicates that the response of predator Hg
   concentrations to smelt invasion depends on both the species and size
   composition of their pre-versus post-invasion diet. At a standardized
   body mass of 10 g, rainbow smelt were significantly trophically elevated
   relative to most native forage species, but they did not have
   significantly higher muscle Hg concentrations. Relationships between Hg
   concentration and delta(15)N were weak, both within and among forage
   fish species. This study shows that trophic elevation on a fine scale
   (within the forage fish community) may not result in increased
   contaminant bioaccumulation. It further challenges the general
   assumptions of food web theory and contaminant bioaccumulation.",10.1007/s10021-002-0205-6,"rainbow smelt (Osmerus mordax); biological invasions; stable isotope
   analysis; trophic positions; mercury concentrations; food webs; Ontario,
   Canada",,,,,,,,,,,,,,,,,,,
SR Lavin and TR {Van Deelen} and PW Brown and RE Warner and SH Ambrose,2003,"Prey use by red foxes (<i>Vulpes vulpes</i>) in urban and rural areas of
   Illinois",CANADIAN JOURNAL OF ZOOLOGY-REVUE CANADIENNE DE ZOOLOGIE,"Decline of red fox (Vulpes vulpes) populations in Illinois has been
   attributed to altered geographic landscapes and the eastward expansion
   of the coyote. To investigate effects of habitat use and competition
   with coyotes on diets of foxes in intensively farmed landscapes of
   Illinois, we analyzed carbon and nitrogen isotope ratios (delta(13)C and
   delta(15)N) of foxes, coyotes (Canis latrans), and other local species.
   Foxes were categorized as rural (agricultural habitat, coyotes present),
   urban (urban habitat, coyotes absent), or from an agricultural research
   facility at the University of Illinois (South Farms, agricultural
   habitat, coyotes absent). Rural foxes had higher fur isotopic values
   (delta(13)C and delta(15)N) than rural coyotes, indicating that coyotes
   caused foxes to consume prey items from higher trophic levels and eat
   more C-4 plants. Urban foxes had lower isotopic values (delta(13)C and
   delta(15)N) than South Farms foxes, suggesting that habitat use partly
   determined fox diets; foxes in urbanized habitats consumed prey at lower
   trophic levels within a largely C-3 plant based food web. Models of
   competitive exclusion by coyotes were better predictors of fox long-term
   diets, including pup rearing, while habitat use models predicted fox
   diets on a narrower timescale. Competitive exclusion by coyotes might be
   an important factor explaining the decline of foxes in the intense
   farming areas of Illinois.",10.1139/Z03-088,NA,,,,,,,,,,,,,,,,,,,
LM Campbell and RE Hecky and J Nyaundi and R Muggide and DG Dixon,2003,"Distribution and food-web transfer of mercury in Napoleon and Winam
   Gulfs, Lake Victoria, East Africa",JOURNAL OF GREAT LAKES RESEARCH,"Mercury (Hg) concentrations were measured for the food webs and water of
   Napoleon Gulf (Uganda) and Winam Gulf (Kenya) in northern Lake Victoria.
   Water total mercury (THg) concentrations in Lake Victoria range from 1.7
   to 5.8 ng/L, while methylmercury (MeHg) concentrations range from 0.2 to
   1 ng/L. Water Hg concentrations in Lake Victoria are higher than in
   temperate great lakes, including Lakes Baikal, Michigan, and Ontario,
   but the top predator Nile perch have relatively low THg concentrations
   compared to temperate piscivorous fish. While the water Hg
   concentrations are similar between Napoleon and Winam gulfs, the THg
   concentrations in biota are significantly higher in Napoleon Gulf than
   in the same species from Winam Gulf, which may be due to biogeochemical
   differences in each gulf. THg concentrations in Nile perch and Nile
   tilapia consistently increase with total length in both gulfs and the
   rates of increase are similar. The rates of THg bioaccumulation, as
   indicated by the regression slopes of log-THg vs. stable nitrogen
   isotope values for each food web (slopes of 0.163 and 0.165 for Napoleon
   and Winam gulfs, respectively), are within the ranges of bioaccumulation
   rates observed in temperate and tropical lakes elsewhere which suggests
   that Hg bioaccumulates at a similar rate in diverse aquatic food webs,
   regardless of latitude or species composition.",10.1016/S0380-1330(03)70554-1,mercury; food webs; stable nitrogen isotopes; water; Lake Victoria,,,,,,,,,,,,,,,,,,,
A Pérez-Pérez and V Espurz and JMB {de Castro} and MA {de Lumley} and D Turbón,2003,"Non-occlusal dental microwear variability in a sample of Middle and Late
   Pleistocene human populations from Europe and the Near East",JOURNAL OF HUMAN EVOLUTION,"Non-occlusal, buccal tooth microwear variability has been studied in 68
   fossil humans from Europe and the Near East. The microwear patterns
   observed suggest that a major shift in human dietary habits and food
   processing techniques might have taken place in the transition from the
   Middle to the Late Pleistocene populations. Differences in microwear
   density, average length, and orientation of striations indicate that
   Middle Pleistocene humans had more abrasive dietary habits than Late
   Pleistocene populations. Both dietary and cultural factors might be
   responsible for the differences observed. In addition, the Middle
   Paleolithic Neandertal specimens studied show a highly heterogeneous
   pattern of microwear when compared to the other samples considered,
   which is inconsistent with a hypothesis of all Neandertals having a
   strictly carnivorous diet. The high density of striations observed in
   the buccal surfaces of several Neandertal teeth might be indicative of
   the inclusion of plant foods in their diet. The buccal microwear
   variability observed in the Neandertals is compatible with an overall
   exploitation of both plant and meat foods on the basis of food
   availability. A preliminary analysis of the relationship between buccal
   microwear density and climatic conditions prevailing in Europe during
   the Late Pleistocene has been attempted. Cold climatic conditions, as
   indicated by oxygen isotope stage data, seem to be responsible for
   higher densities of microwear features, whereas warmer periods could
   correspond to a reduced pattern of scratch density. Such a relationship
   would be indicative of less abrasive dietary habits, perhaps more meat
   dependent, during warmer periods. (C) 2003 Elsevier Science Ltd. All
   rights reserved.",10.1016/S0047-2484(03)00030-7,dietary habits; buccal microwear; teeth; pleistocene; neandertal,,,,,,,,,,,,,,,,,,,
EW Born and P Outridge and FF Riget and KA Hobson and R Dietz and N Oien and T Haug,2003,"Population substructure of North Atlantic minke whales (<i>Balaenoptera
   acutorostrata</i>) inferred from regional variation of elemental and
   stable isotopic signatures in tissues",JOURNAL OF MARINE SYSTEMS,"Information on population structure is essential for estimating
   population demographics and managing the impacts of exploitation of
   North Atlantic minke whales (Balaenoptera acutorostrata). New approaches
   including assessment of geochemical signatures in tissues can assist in
   defining such structure.
   This study determined regional variations in long-term elemental
   diagnostics of stock differences among 159 minke whales harvested in
   West Greenland, the Northeast Atlantic Ocean and the North Sea in 1998.
   The diagnostics tested included mercury (Hg), selenium (Se) and cadmium
   (Cd) in various tissues, and the trace and major element composition of
   baleen. Supporting data was also gathered on delta(15)N and delta(13)C
   and stable lead isotope ratios.
   For female whales, significant differences in at least one long-term
   diagnostic element occurred between several areas. Existence of the
   following population substructure was inferred: (a) West Greenland, (b)
   a central group represented by whales from Jan Mayen, (c) a northeastern
   stock encompassing the Barents Sea, Svalbard and coastal Norway, and (d)
   the North Sea. These groups were consistent with those defined
   genetically by Andersen et al. {[}Mar. Ecol., Prog. Ser. 247 (2003)
   263]. Males appeared to fall into similar groupings to females but
   because of smaller sample sizes fewer significant differences occurred
   between areas.
   Stable-isotopic values in minke whales suggested lower trophic-level
   feeding in this species than hitherto suspected, with significant
   dietary differences between areas. Variations in feeding habits appeared
   to explain part of the geographical variation in tissue Cd, but not
   tissue Hg or Se.
   Differences among elements with a relatively long biological half-life
   in specific tissues suggested that groups of minke whales have fidelity
   to certain summer feeding areas at least for several years. Crown
   Copyright (C) 2003 Published by Elsevier B.V. All rights reserved.",10.1016/S0924-7963(03)00085-X,"minke whale; Balaenoptera acutorostrata; north Atlantic; element
   signatures; stable isotopes; subpopulation",,,,,,,,,,,,,,,,,,,
RA Keats and LJ Osher and HA Neckers,2004,"The effect of nitrogen loading on a brackish estuarine faunal community:
   A stable isotope approach",ESTUARIES,"Coastal ecosystems worldwide face increased nutrient enrichment from
   shoreline and watershed development and atmospheric pollution. We
   investigated the response of the faunal community of a small microtidal
   estuary dominated by Ruppia maritima (widgeon grass) in Maine, United
   States, to increased nitrogen loading using an in situ mesocosm
   enrichment experiment. Community response was characterized by assessing
   quantitative shifts in macroin-vertebrate community composition and
   identifying changes in food web structure using stable carbon and
   nitrogen isotope ratios of producers and consumers. The community was
   dominated by brackish water invertebrates including midge larvae,
   oligochaetes, damselfly larvae, amphipods, and ostracods. Experimental
   nutrient additions resulted in significantly lower densities of
   herbivorous chironomids and predatory damselflies and greater densities
   of deposit feeding oligochaetes. Grazing midge larvae (Chironomidae:
   Dicrotendipes, Cricotopus) consumed epiphytic algae under both natural
   and enriched conditions. Deposit feeding Chironomus was dependent on
   allochthonous sources of detritus under natural conditions and exhibited
   a shift to autochthonous sources of detritus under enriched conditions.
   Predatory Enallagma primarily consumed grazing chironomids under all but
   the highest loading conditions. Experimental nutrient loading resulted
   in an increase in generalist deposit feeders dependent on autochthonous
   sources of detritus.",10.1007/BF02803538,NA,,,,,,,,,,,,,,,,,,,
J Xu and P Xie,2004,"Studies on the food web structure of Lake Donghu using stable carbon and
   nitrogen isotope ratios",JOURNAL OF FRESHWATER ECOLOGY,"Food web structure was studied by using carbon and nitrogen isotope
   ratios in a hypereutrophic subtropical Chinese lake, Lake Donghu. High
   external nutrient loading and the presence of abundant detritus from
   submersed macrophytes were responsible for the high sediment delta(15)N
   and delta(13)C, respectively. C-13 was significantly higher in submersed
   macrophytes than in other macrophytes. The similar delta(13)C values in
   phytoplankton, zooplankton, zoobenthos, and planktivorous fish indicate
   that phytoplankton was the major food source for the consumers. By using
   a delta(15)N mass balance model, we estimate that the contributions of
   zooplankton to the diet of silver carp and bighead carp were 54\% and
   74\%, respectively, which is in agreement with previous microscopic
   observations on intestinal contents of these fishes.",10.1080/02705060.2004.9664746,NA,,,,,,,,,,,,,,,,,,,
MJ {Vander Zanden} and JD Olden and JH Thorne and NE Mandrak,2004,"Predicting occurrences and impacts of smallmouth bass introductions in
   north temperate lakes",ECOLOGICAL APPLICATIONS,"Smallmouth bass and other warmwater littoral piscivores are presently
   expanding their geographic range northward into lakes across southern
   Canada. Smallmouth bass introduction can dramatically reduce minnow
   abundances, causing native lake trout to shift to low quality,
   invertebrate-based diets. Here we develop models to predict future
   occurrences and impacts of smallmouth bass in central Ontario, with the
   goal of identifying ``vulnerable{''} lakes in order to better guide
   prevention efforts. Using local and regional environmental variables for
   3046 central Ontario lakes, an artificial neural network was used to
   predict lakes that are likely to be invaded by bass. Smallmouth bass can
   significantly influence the occurrence and abundance of small-bodied
   fishes (mainly minnows), and stable isotope analysis of food webs in 18
   lakes revealed that lake trout are buffered from impacts of bass on
   minnows in lakes containing pelagic prey fishes. In the absence of
   pelagic prey fishes, the trophic niche of lake trout depends on the
   presence of bass; lake trout feed primarily on zooplankton in the
   presence of bass, and minnows in the absence of bass. Of the 3046 lakes,
   the 788 take trout lakes in central Ontario were classified according to
   their vulnerability to bass invasion based on the predictability of bass
   occurrence and their subsequent impacts, and mapped in a Geographic
   Information System (GIS). Only 48 lake trout lakes (6\%) were classified
   as ``high vulnerability{''}-predicted to be invaded and impacted by
   bass. Another 301 lakes had a sensitive food web structure but were not
   predicted to support a bass population. Based on this information,
   efforts to prevent further impacts can be optimized by focusing on this
   vulnerable subset of lakes.",NA,"artificial neural networks; exotic species; food webs; GIS; lake
   classification; lakes; Ontario, Canada; smallmouth bass; species
   introduction; stable isotopes",,,,,,,,,,,,,,,,,,,
LE England and AD Rosemond,2004,"Small reductions in forest cover weaken terrestrial-aquatic linkages in
   headwater streams",FRESHWATER BIOLOGY,"1. We assessed the impacts of deforestation on the energy base of
   headwater food webs in seven headwater streams in the Upper
   Chattahoochee basin, GA, U.S.A where percentage forest in catchments
   ranged from 82 to 96\%. We measured terrestrial organic matter standing
   crop and determined consumer (crayfish and insectivorous fish)
   dependence on terrestrial versus aquatic energy sources via gut content
   and stable isotope analyses.
   2. Standing crop of coarse particulate organic matter (CPOM) declined
   with deforestation at large scales (i.e. catchment deforestation and
   riparian deforestation at the entire stream network scale). Terrestrial
   plant matter, the dominant component of crayfish guts, declined in
   crayfish guts with reductions in CPOM standing crop and with
   deforestation.
   3. Crayfish and insectivorous fish delta(13)C showed enrichment trends
   with deforestation, indicating isotopic divergence from CPOM, the most
   C-13-depleted basal resource, with reductions in catchment and riparian
   forest cover. Crayfish delta(13)C also exhibited enrichment with
   decreased instream CPOM standing crop.
   4. A concentration-dependent mixing model was used to calculate the
   relative dependence of crayfish and fish on terrestrial versus aquatic
   basal resources. Results suggested that both allochthonous CPOM and
   autochthonous production were important basal resources. Consumer
   dependence on CPOM decreased with reductions in canopy cover.
   5. Our data suggest the importance of forest cover to headwater food
   webs at multiple scales, and that relatively low levels of riparian
   deforestation along headwater streams can lead to reductions in stream
   food web dependence on terrestrial subsidies.",10.1111/j.1365-2427.2004.01219.x,"allochthonous resources; deforestation; food web subsidies; riparian
   buffers; stable isotopes; terrestrial-aquatic linkages",,,,,,,,,,,,,,,,,,,
EA Pakhomov and JW McClelland and K Bernard and S Kaehler and JP Montoya,2004,"Spatial and temporal shifts in stable isotope values of the
   bottom-dwelling shrimp <i>Nauticaris marionis</i> at the sub-Antarctic
   archipelago",MARINE BIOLOGY,"Spatial and temporal dynamics of carbon and nitrogen stable isotope
   signatures of the bottom-dwelling caridean shrimp Nauticaris marionis
   were measured during April and May between 1984 and 2000 in the vicinity
   of Marion Island (the Prince Edward Islands, Southern Ocean). There was
   one trophic-level enrichment in bulk delta(15)N and delta(13)C
   signatures between small (<20 mm long) and large (>20 mm) specimens of
   N. marionis, suggesting distinct trophic differentiation among major
   shrimp size groups. Both delta(15)N and delta(13)C values of N. marionis
   increased with the depth, reflecting changes in their diet. There were
   no clear temporal trends in bulk delta(15)N signatures of N. marionis.
   However, compound-specific delta(15)N measurements of amino acids
   indicated that N. marionis from the inter-island realm occupied the
   trophic level of second order carnivores, while similarly sized shrimps
   in the near-shore realm were at the trophic level of first order
   carnivores. Compound-specific measurements also identified a change in
   the source of inorganic nitrogen at the base of the food web between the
   inter-island and near-shore realms. In contrast to the bulk delta(15)N
   values, a significant shift in bulk delta(13)C values of N. marionis was
   observed between 1984 and more recent years. This temporal change
   appears to be linked to changes in the overall productivity of the
   Prince Edward Island inter-island system, which could be linked to
   global climate change.",10.1007/s00227-003-1196-3,NA,,,,,,,,,,,,,,,,,,,
